order_id,order_date,customer_id,customer_age,customer_gender,region,prefecture,product_category,product_name,unit_price,quantity,discount_rate,payment_method,is_repeat_customer,delivery_days,review_score
ORD001,2024-01-05,C1001,28,F,関東,東京都,家電,ワイヤレスイヤホン,12800,1,0.00,クレジットカード,FALSE,2,4.5
ORD002,2024-01-07,C1002,35,M,関西,大阪府,書籍,ビジネス書セット,4500,2,0.10,PayPay,TRUE,3,4.0
ORD003,2024-01-08,C1003,42,F,関東,神奈川県,ファッション,ウィンターコート,25000,1,0.15,クレジットカード,FALSE,4,5.0
ORD004,2024-01-10,C1004,23,M,九州,福岡県,家電,モバイルバッテリー,3980,3,0.00,コンビニ払い,FALSE,5,3.5
ORD005,2024-01-12,C1001,28,F,関東,東京都,美容,スキンケアセット,8900,1,0.05,クレジットカード,TRUE,2,4.5
ORD006,2024-01-15,C1005,31,F,東北,宮城県,食品,グルメギフト,6500,2,0.00,銀行振込,FALSE,6,4.0
ORD007,2024-01-18,C1006,45,M,関東,埼玉県,家電,タブレット,45000,1,0.20,クレジットカード,TRUE,2,4.5
ORD008,2024-01-20,C1007,29,F,関西,京都府,ファッション,レザーバッグ,18000,1,0.10,PayPay,FALSE,3,5.0
ORD009,2024-01-22,C1008,38,M,中部,愛知県,スポーツ,ランニングシューズ,15800,1,0.00,クレジットカード,FALSE,3,4.0
ORD010,2024-01-25,C1009,26,F,関東,東京都,美容,ヘアケアセット,5600,2,0.05,コンビニ払い,FALSE,2,3.5
ORD011,2024-01-28,C1010,52,M,北海道,北海道,食品,海鮮セット,12000,1,0.00,銀行振込,TRUE,7,5.0
ORD012,2024-02-01,C1002,35,M,関西,大阪府,家電,スマートウォッチ,32000,1,0.10,PayPay,TRUE,3,4.5
ORD013,2024-02-03,C1011,33,F,関東,千葉県,ファッション,スニーカー,12500,1,0.00,クレジットカード,FALSE,2,4.0
ORD014,2024-02-05,C1012,41,M,九州,熊本県,書籍,技術書,3800,3,0.05,コンビニ払い,FALSE,5,4.5
